period,quarter,order_no,po_count,pod,sales_order_no,supplier_id,product_id,ordered,amount_in_each,unit_price,amount,delivered,order_type,order_id,tax_code,transaction_no,location_id,order_date,posted,status,cost_centre,contract_id
201804,Q2,517336,1,1,8935991,5,392,5,25,190,950,5,Purchase Order,8935991,1,37079071,1,2018-07-25,950,O,1,56
201801,Q1,506779,1,1,8926492,5,528,2,2,370,740,2,Purchase Order,8926492,1,37076701,1,2018-04-23,740,O,1,56
201803,Q1,511686,1,1,8930607,5,614,8,8,350,2800,1,Purchase Order,8930607,1,37078035,1,2018-06-05,350,O,1,56
201802,Q1,509202,1,1,8927953,5,614,8,8,350,2800,8,Purchase Order,8927953,1,37077240,1,2018-05-14,2800,F,1,56
201801,Q1,505439,0,2,8925485,5,614,2,2,350,700,2,Purchase Order,8925485,1,37076455,1,2018-04-11,700,F,1,56
201802,Q1,509203,1,1,8927955,5,612,3,3,375,1125,3,Purchase Order,8927955,1,37077242,1,2018-05-14,1125,F,1,56
201801,Q1,504586,1,1,8924475,5,613,5,5,375,1875,5,Purchase Order,8924475,1,37076253,1,2018-04-04,1875,O,1,56
201802,Q1,509203,0,2,8927955,5,613,3,3,375,1125,3,Purchase Order,8927955,1,37077242,1,2018-05-14,1125,F,1,56
201802,Q1,507928,0,2,8927685,5,613,3,3,375,1125,3,Purchase Order,8927685,1,37076937,1,2018-05-01,1125,O,1,56
201802,Q1,510644,0,2,8930025,5,616,6,6,350,2100,6,Purchase Order,8930025,1,37077525,1,2018-05-24,2100,F,1,56
201802,Q1,509203,0,3,8927955,5,616,2,2,350,700,2,Purchase Order,8927955,1,37077242,1,2018-05-14,700,F,1,56
201801,Q1,505439,1,1,8925485,5,616,3,3,350,1050,3,Purchase Order,8925485,1,37076591,1,2018-04-11,1050,F,1,56
201803,Q1,514662,0,2,8933512,5,617,1,1,600,600,1,Purchase Order,8933512,1,37078867,1,2018-06-29,600,O,1,56
201804,Q2,518119,0,2,8936649,5,390,2,10,80,160,0,Purchase Order,8936649,1,0,1,2018-07-31,0,O,1,56
201804,Q2,517737,1,1,8936319,5,390,32,160,80,2560,0,Purchase Order,8936319,1,0,1,2018-07-27,0,O,1,56
201804,Q2,514737,1,1,8933583,5,390,36,180,80,2880,36,Purchase Order,8933583,1,37078590,1,2018-07-02,2700,O,1,56
201803,Q1,512376,1,1,8931395,5,390,32,160,80,2560,32,Purchase Order,8931395,1,37077905,1,2018-06-11,2400,O,1,56
201802,Q1,509217,1,1,8928542,5,390,24,120,80,1920,24,Purchase Order,8928542,1,37077243,1,2018-05-14,1800,F,1,56
201801,Q1,506777,1,1,8926244,5,390,36,180,80,2880,36,Purchase Order,8926244,1,37076703,1,2018-04-23,2700,O,1,56
201802,Q1,509221,0,62,8928061,5,414,2,2,33,66,2,Purchase Order,8928061,1,37077309,1,2018-05-14,66,O,1,56
201804,Q2,514746,0,1,8933584,5,610,6,18,210,1260,6,Purchase Order,8933584,1,37078591,1,2018-07-02,1260,O,1,56
201802,Q1,509223,1,1,8928545,5,610,5,15,210,1050,5,Purchase Order,8928545,1,37077244,1,2018-05-14,1050,O,1,56
201801,Q1,505172,0,4,8925157,5,522,5,5,390,1950,5,Purchase Order,8925157,1,37076300,1,2018-04-09,1950,O,1,56
201801,Q1,505172,0,3,8925157,5,523,5,5,390,1950,5,Purchase Order,8925157,1,37076300,1,2018-04-09,1950,O,1,56
201801,Q1,504345,0,2,8924394,5,524,2,2,390,780,2,Purchase Order,8924394,1,37076130,1,2018-04-02,780,O,1,56
201801,Q1,505172,1,1,8925157,5,524,7,7,390,2730,7,Purchase Order,8925157,1,37076300,1,2018-04-09,2730,O,1,56
201801,Q1,505172,0,5,8925157,5,525,5,5,390,1950,5,Purchase Order,8925157,1,37076300,1,2018-04-09,1950,O,1,56
201803,Q1,511707,1,1,8930608,5,618,7,7,395,2765,7,Purchase Order,8930608,1,37078739,1,2018-06-05,2765,F,1,56
201801,Q1,504586,0,2,8924475,5,618,5,5,395,1975,5,Purchase Order,8924475,1,37076253,1,2018-04-04,1975,O,1,56
201802,Q1,509201,1,1,8927951,5,618,7,7,395,2765,7,Purchase Order,8927951,1,37077241,1,2018-05-14,2765,F,1,56
201802,Q1,507928,1,1,8927685,5,618,4,4,395,1580,4,Purchase Order,8927685,1,37076931,1,2018-05-01,1580,O,1,56
201802,Q1,510380,0,5,8929718,20,340,1,1,950,950,1,Purchase Order,8929718,1,30550672,1,2018-05-22,950,F,1,38
201802,Q1,510380,0,3,8929718,20,341,1,1,950,950,1,Purchase Order,8929718,1,30550672,1,2018-05-22,950,F,1,38
201802,Q1,507936,1,1,8927662,20,342,1,1,950,950,1,Purchase Order,8927662,1,30549835,1,2018-05-01,950,F,1,38
201802,Q1,507936,0,2,8927662,20,343,1,1,950,950,1,Purchase Order,8927662,1,30549835,1,2018-05-01,950,F,1,38
201803,Q1,512435,1,1,8931656,20,344,1,1,950,950,1,Purchase Order,8931656,1,30551353,1,2018-06-11,950,F,1,38
201803,Q1,513562,1,1,8932429,20,345,1,1,950,950,1,Purchase Order,8932429,1,30551788,1,2018-06-20,950,F,1,38
201802,Q1,510380,0,4,8929718,20,348,1,1,950,950,1,Purchase Order,8929718,1,30550672,1,2018-05-22,950,F,1,38
201804,Q2,516351,1,1,8934962,26,660,2,2,4.73,9.46,2,Purchase Order,8934962,1,0,1,2018-07-13,0,O,1,38
201804,Q2,516351,0,2,8934962,26,661,2,2,6,12,2,Purchase Order,8934962,1,0,1,2018-07-13,0,O,1,38
201804,Q2,516351,0,3,8934962,26,662,5,5,4.05,20.25,5,Purchase Order,8934962,1,0,1,2018-07-13,0,O,1,38
201803,Q1,512365,0,9,8931512,15,172,1,10,70.2,70.2,1,Purchase Order,8931512,1,37554710,1,2018-06-11,70.2,F,1,10
201803,Q1,512365,0,8,8931512,15,173,2,20,70.2,140.4,2,Purchase Order,8931512,1,37554710,1,2018-06-11,140.4,F,1,10
201803,Q1,512365,0,7,8931512,15,174,1,10,70.2,70.2,1,Purchase Order,8931512,1,37554710,1,2018-06-11,70.2,F,1,10
201803,Q1,512365,0,6,8931512,15,175,1,10,70.2,70.2,1,Purchase Order,8931512,1,37554710,1,2018-06-11,70.2,F,1,10
201804,Q2,514705,1,1,8933585,15,182,1,5,200.85,200.85,1,Purchase Order,8933585,1,37555538,1,2018-06-29,200.85,F,1,10
201804,Q2,517796,0,8,8936348,15,200,6,30,29.87,179.22,6,Purchase Order,8936348,1,0,1,2018-07-27,0,O,1,10
201801,Q1,506643,1,1,8926631,15,200,6,30,29.87,179.22,6,Purchase Order,8926631,1,37552867,1,2018-04-23,179.22,F,1,10
201803,Q1,512373,1,1,8931008,15,202,2,20,265.74,531.48,2,Purchase Order,8931008,1,37554709,1,2018-06-11,531.48,O,1,10
201804,Q2,517796,0,2,8936348,15,203,20,100,29.87,597.4,20,Purchase Order,8936348,1,0,1,2018-07-27,0,O,1,10
201803,Q1,512612,1,1,8931693,15,203,30,150,29.87,896.1,30,Purchase Order,8931693,1,37554685,1,2018-06-12,896.1,F,1,10
201803,Q1,512365,1,1,8931512,15,203,20,100,29.87,597.4,20,Purchase Order,8931512,1,37554710,1,2018-06-11,597.4,F,1,10
201802,Q1,508757,1,1,8928349,15,203,10,50,29.87,298.7,10,Purchase Order,8928349,1,37553634,1,2018-05-09,298.7,F,1,10
201801,Q1,505101,0,2,8925274,15,203,20,100,29.87,597.4,20,Purchase Order,8925274,1,37552550,1,2018-04-09,597.4,F,1,10
201803,Q1,512365,0,3,8931512,15,204,10,50,29.87,298.7,10,Purchase Order,8931512,1,37554710,1,2018-06-11,298.7,F,1,10
201801,Q1,505101,0,3,8925274,15,204,10,50,29.87,298.7,10,Purchase Order,8925274,1,37552777,1,2018-04-09,298.7,F,1,10
201804,Q2,517796,0,3,8936348,15,205,20,100,29.87,597.4,0,Purchase Order,8936348,1,0,1,2018-07-27,0,O,1,10
201804,Q2,516159,1,1,8934339,15,205,20,100,29.87,597.4,20,Purchase Order,8934339,1,37555936,1,2018-07-12,597.4,O,1,10
201803,Q1,512612,0,2,8931693,15,205,20,100,29.87,597.4,20,Purchase Order,8931693,1,37554685,1,2018-06-12,597.4,F,1,10
201803,Q1,512365,0,2,8931512,15,205,20,100,29.87,597.4,20,Purchase Order,8931512,1,37554710,1,2018-06-11,597.4,F,1,10
201802,Q1,509128,0,4,8928795,15,205,10,50,29.87,298.7,10,Purchase Order,8928795,1,37553700,1,2018-05-14,298.7,F,1,10
201802,Q1,508757,0,2,8928349,15,205,10,50,29.87,298.7,10,Purchase Order,8928349,1,37553634,1,2018-05-09,298.7,F,1,10
201801,Q1,505456,0,3,8925484,15,205,5,25,29.87,149.35,5,Purchase Order,8925484,1,37552776,1,2018-04-11,149.35,F,1,10
201801,Q1,505101,1,1,8925274,15,205,20,100,29.87,597.4,20,Purchase Order,8925274,1,37552774,1,2018-04-09,597.4,F,1,10
201801,Q1,505456,0,2,8925484,15,206,5,25,29.87,149.35,5,Purchase Order,8925484,1,37553367,1,2018-04-11,149.35,F,1,10
201803,Q1,512373,0,5,8931008,15,207,3,15,29.87,89.61,3,Purchase Order,8931008,1,37554709,1,2018-06-11,89.61,O,1,10
201803,Q1,513921,1,1,8932896,15,208,5,25,29.87,149.35,5,Purchase Order,8932896,1,37555186,1,2018-06-25,149.35,O,1,10
201803,Q1,512373,0,6,8931008,15,208,3,15,29.87,89.61,3,Purchase Order,8931008,1,37554709,1,2018-06-11,89.61,O,1,10
201803,Q1,512373,0,7,8931008,15,209,3,15,29.87,89.61,3,Purchase Order,8931008,1,37554709,1,2018-06-11,89.61,O,1,10
201804,Q2,514984,1,1,8933839,15,210,15,75,29.87,448.05,15,Purchase Order,8933839,1,37555636,1,2018-07-03,448.05,F,1,10
201802,Q1,509128,0,3,8928795,15,210,6,30,29.87,179.22,6,Purchase Order,8928795,1,37553700,1,2018-05-14,179.22,F,1,10
201803,Q1,512373,0,11,8931008,15,211,4,20,29.87,119.48,4,Purchase Order,8931008,1,37554709,1,2018-06-11,119.48,O,1,10
201804,Q2,517796,1,1,8936348,15,212,1,3,17.92,17.92,1,Purchase Order,8936348,1,0,1,2018-07-27,0,O,1,10
201803,Q1,512373,0,2,8931008,15,212,6,18,17.92,107.52,6,Purchase Order,8931008,1,37554709,1,2018-06-11,107.52,O,1,10
201801,Q1,506643,0,5,8926631,15,212,6,18,17.92,107.52,6,Purchase Order,8926631,1,37552867,1,2018-04-23,107.52,F,1,10
201804,Q2,514704,1,1,8933574,15,272,3,30,236.9,710.7,3,Purchase Order,8933574,1,37555539,1,2018-06-29,710.7,O,1,10
201804,Q2,515147,0,3,8933812,20,5,1,1,550,550,1,Purchase Order,8933812,1,30552522,1,2018-07-05,550,F,1,28
201802,Q1,510380,1,1,8929718,20,5,3,3,550,1650,3,Purchase Order,8929718,1,30550672,1,2018-05-22,1650,F,1,28
201802,Q1,508435,1,1,8928114,50,226,4,96,150,600,4,Purchase Order,8928114,1,32053566,1,2018-05-08,600,F,1,53
201804,Q2,516003,1,1,8934736,7,263,10,10,595,5950,10,Purchase Order,8934736,1,0,1,2018-07-12,0,O,1,23
201803,Q1,513955,1,1,8932653,7,263,5,5,595,2975,5,Purchase Order,8932653,1,30552173,1,2018-06-25,2975,F,1,23
201803,Q1,513954,1,1,8932652,7,263,5,5,595,2975,5,Purchase Order,8932652,1,30552172,1,2018-06-25,2975,F,1,23
201803,Q1,512772,1,1,8931449,7,263,10,10,595,5950,10,Purchase Order,8931449,1,30551751,1,2018-06-13,5950,F,1,23
201802,Q1,509225,1,1,8927837,7,263,10,10,595,5950,10,Purchase Order,8927837,1,30550527,1,2018-05-14,5950,F,1,23
201801,Q1,507270,1,1,8926710,7,263,5,5,595,2975,5,Purchase Order,8926710,1,30549763,1,2018-04-26,2975,F,1,23
201801,Q1,505467,1,1,8925487,7,263,5,5,595,2975,5,Purchase Order,8925487,1,30549180,1,2018-04-11,2975,F,1,23
201801,Q1,504977,1,1,8925125,7,263,5,5,595,2975,5,Purchase Order,8925125,1,30549086,1,2018-04-06,2975,F,1,23
201801,Q1,504981,1,1,8925124,14,263,5,5,595,2975,5,Purchase Order,8925124,1,30549085,1,2018-04-06,2975,F,1,23
201803,Q1,514662,1,1,8933512,5,619,1,1,900,900,1,Purchase Order,8933512,1,37078743,1,2018-06-29,900,O,1,33
201803,Q1,512377,1,1,8931442,5,499,8,8,200,1600,8,Purchase Order,8931442,1,37077904,1,2018-06-11,1600,O,1,43
201801,Q1,504345,1,1,8924394,5,526,5,5,390,1950,5,Purchase Order,8924394,1,37076130,1,2018-04-02,1950,O,1,17
201802,Q1,510805,1,1,8930102,29,2,2,2,34.31,68.62,2,Purchase Order,8930102,1,37554002,1,2018-05-25,64.62,O,1,26
201802,Q1,510805,0,2,8930102,29,3,2,2,34.31,68.62,2,Purchase Order,8930102,1,37554002,1,2018-05-25,64.62,O,1,26
201802,Q1,510805,0,3,8930102,29,4,3,3,34.31,102.93,3,Purchase Order,8930102,1,37554002,1,2018-05-25,96.93,O,1,26
201804,Q2,515579,1,1,8934338,29,10,1,1,37.61,37.61,1,Purchase Order,8934338,1,37555559,1,2018-07-09,37.61,O,1,26
201803,Q1,514275,1,1,8933169,29,10,1,1,37.61,37.61,1,Purchase Order,8933169,1,37555066,1,2018-06-27,37.61,O,1,26
201801,Q1,507254,1,1,8927057,29,1,1,1,34.31,34.31,1,Purchase Order,8927057,1,37553544,1,2018-04-26,34.31,O,1,55
201803,Q1,512653,1,1,8931646,7,283,1,1,1400,1400,1,Purchase Order,8931646,1,30551566,1,2018-06-12,1400,F,1,40
201803,Q1,512652,1,1,8931645,7,283,2,2,1400,2800,2,Purchase Order,8931645,1,30551564,1,2018-06-12,2800,F,1,40
201803,Q1,512651,1,1,8931644,7,283,2,2,1400,2800,2,Purchase Order,8931644,1,30551565,1,2018-06-12,2800,F,1,40
201803,Q1,512650,1,1,8931643,7,283,2,2,1400,2800,2,Purchase Order,8931643,1,30551562,1,2018-06-12,2800,F,1,40
201803,Q1,512649,1,1,8931639,7,283,0,0,1400,0,0,Purchase Order,8931639,1,0,1,2018-06-12,0,F,1,40
201802,Q1,509226,1,1,8928457,7,283,2,2,1400,2800,2,Purchase Order,8928457,1,30550529,1,2018-05-14,2800,F,1,40
201802,Q1,511204,1,1,8930400,14,283,5,5,1400,7000,5,Purchase Order,8930400,1,30551252,1,2018-05-31,7000,F,1,40
201803,Q1,512653,0,2,8931646,7,284,5,5,90,450,5,Purchase Order,8931646,1,30551566,1,2018-06-12,450,F,1,40
201803,Q1,511964,1,1,8931129,7,284,3,3,90,270,3,Purchase Order,8931129,1,30551341,1,2018-06-07,270,F,1,40
201802,Q1,511204,0,2,8930400,14,284,2,2,90,180,2,Purchase Order,8930400,1,30551252,1,2018-05-31,180,F,1,40
201803,Q1,513204,1,1,8932213,7,351,2,10,3500,7000,2,Purchase Order,8932213,1,30551823,1,2018-06-18,7000,F,1,40
201802,Q1,509436,1,1,8928456,7,351,2,10,3500,7000,2,Purchase Order,8928456,1,30550472,1,2018-05-15,7000,F,1,40
201803,Q1,514369,1,1,8933270,6,119,2,24,141.71,283.42,2,Purchase Order,8933270,1,31055914,1,2018-06-27,291.92,F,1,35
201804,Q2,516154,0,3,8934352,2,383,2,2,280,560,2,Purchase Order,8934352,1,31056175,1,2018-07-12,560,F,1,22
201804,Q2,516154,0,2,8934352,2,384,3,3,280,840,3,Purchase Order,8934352,1,31056175,1,2018-07-12,840,F,1,22
201804,Q2,516154,1,1,8934352,2,725,2,2,574,1148,2,Purchase Order,8934352,1,31056175,1,2018-07-12,1148,F,1,22
201804,Q2,516153,1,1,8934191,2,725,1,1,574,574,1,Purchase Order,8934191,1,31056199,1,2018-07-12,574,F,1,22
201804,Q2,515607,1,1,8934345,7,260,5,25,1700,8500,5,Purchase Order,8934345,1,30552564,1,2018-07-09,8500,F,1,25
201803,Q1,512773,1,1,8931451,7,260,2,10,1700,3400,2,Purchase Order,8931451,1,30551749,1,2018-06-13,3400,F,1,25
201802,Q1,508260,1,1,8927839,7,260,4,20,1700,6800,4,Purchase Order,8927839,1,30550125,1,2018-05-03,6800,F,1,25
201801,Q1,507249,1,1,8926719,7,260,4,20,1700,6800,4,Purchase Order,8926719,1,30549764,1,2018-04-26,6800,F,1,25
201801,Q1,505177,1,1,8925109,7,260,2,10,1700,3400,2,Purchase Order,8925109,1,30549100,1,2018-04-09,3400,F,1,25
201803,Q1,514668,1,1,8933403,14,260,1,5,1700,1700,1,Purchase Order,8933403,1,30552323,1,2018-06-29,1700,F,1,25
201803,Q1,514667,1,1,8933402,14,260,1,5,1700,1700,1,Purchase Order,8933402,1,30552320,1,2018-06-29,1700,F,1,25
201803,Q1,514666,1,1,8933401,14,260,1,5,1700,1700,1,Purchase Order,8933401,1,30552321,1,2018-06-29,1700,F,1,25
201803,Q1,514665,1,1,8932765,14,260,1,5,1700,1700,1,Purchase Order,8932765,1,30552322,1,2018-06-29,1700,O,1,25
201803,Q1,514664,1,1,8932764,14,260,1,5,1700,1700,1,Purchase Order,8932764,1,30552324,1,2018-06-29,1700,F,1,25
201803,Q1,512367,1,1,8931240,35,369,5,5,66.15,330.75,5,Purchase Order,8931240,1,37554678,1,2018-06-11,330.75,F,1,36
201803,Q1,511282,1,1,8930616,35,369,5,5,66.15,330.75,5,Purchase Order,8930616,1,37554557,1,2018-06-01,330.75,F,1,36
201803,Q1,513745,0,2,8932747,35,370,5,5,85,425,5,Purchase Order,8932747,1,37555092,1,2018-06-21,425,F,1,36
201803,Q1,513745,1,1,8932747,35,371,5,5,85,425,5,Purchase Order,8932747,1,37555092,1,2018-06-21,425,F,1,36
201803,Q1,512367,0,2,8931240,35,372,10,10,115,1150,10,Purchase Order,8931240,1,37554678,1,2018-06-11,1150,F,1,36
201803,Q1,511282,0,2,8930616,35,372,5,5,115,575,5,Purchase Order,8930616,1,37554557,1,2018-06-01,575,F,1,36
201801,Q1,506067,1,1,8926015,35,373,1,1,60,60,1,Purchase Order,8926015,1,37552745,1,2018-04-17,60,F,1,36
201801,Q1,506756,1,1,8926635,20,6,3,3,550,1650,3,Purchase Order,8926635,1,30549541,1,2018-04-23,1650,F,1,15
201804,Q2,515147,0,4,8933812,20,7,1,1,550,550,1,Purchase Order,8933812,1,30552522,1,2018-07-05,550,F,1,15
201802,Q1,510380,0,2,8929718,20,7,2,2,550,1100,2,Purchase Order,8929718,1,30551317,1,2018-05-22,1100,F,1,15
201801,Q1,506756,0,3,8926635,20,8,1,1,550,550,1,Purchase Order,8926635,1,30549541,1,2018-04-23,550,F,1,15
201804,Q2,514738,1,1,8933590,29,9,1,1,37.61,37.61,1,Purchase Order,8933590,1,37555326,1,2018-07-02,37.61,O,1,15
201804,Q2,514744,1,1,8933581,3,16,3,15,200,600,3,Purchase Order,8933581,1,30552335,1,2018-07-02,600,F,1,15
201804,Q2,516156,1,1,8934351,3,16,3,15,200,600,3,Purchase Order,8934351,1,30552684,1,2018-07-12,600,F,1,15
201804,Q2,516166,1,1,8934443,3,60,4,20,200,800,4,Purchase Order,8934443,1,30552685,1,2018-07-12,800,F,1,15
201803,Q1,513958,1,1,8932965,3,60,4,20,200,800,4,Purchase Order,8932965,1,30552035,1,2018-06-25,800,O,1,15
201801,Q1,505468,1,1,8925471,3,60,4,20,200,800,4,Purchase Order,8925471,1,30549368,1,2018-04-11,800,F,1,15
201804,Q2,516166,0,2,8934443,3,60,4,20,200,800,4,Purchase Order,8934443,1,30552685,1,2018-07-12,800,F,1,15
201801,Q1,505412,1,1,8925421,6,60,3,3,1250,3750,3,Purchase Order,8925421,1,31053370,1,2018-04-11,3750,F,1,15
201803,Q1,512371,1,1,8930997,3,67,5,25,200,1000,5,Purchase Order,8930997,1,30551535,1,2018-06-11,1000,F,1,15
201802,Q1,510506,1,1,8929487,3,67,2,10,200,400,2,Purchase Order,8929487,1,30550963,1,2018-05-23,400,F,1,15
201804,Q2,516661,1,1,8935279,3,67,3,15,200,600,3,Purchase Order,8935279,1,0,1,2018-07-18,0,O,1,15
201804,Q2,516812,1,1,8935416,24,67,10,100,32.94,329.4,10,Purchase Order,8935416,1,31056619,1,2018-07-19,321,O,1,15
201804,Q2,516853,0,5,8935130,22,71,1,1,384.04,384.04,0,Purchase Order,8935130,1,0,1,2018-07-19,0,O,1,15
201802,Q1,509071,1,1,8928666,7,72,1,10,309.9,309.9,1,Purchase Order,8928666,1,30550382,1,2018-05-14,309.9,F,1,15
201802,Q1,509071,0,2,8928666,7,72,5,5,99,495,5,Purchase Order,8928666,1,30550382,1,2018-05-14,495,F,1,15
201803,Q1,511705,1,1,8930897,14,72,10,10,99,990,10,Purchase Order,8930897,1,30551251,1,2018-06-05,990,F,1,15
201803,Q1,511705,0,2,8930897,14,72,10,10,99,990,10,Purchase Order,8930897,1,30551251,1,2018-06-05,990,F,1,15
201802,Q1,509189,1,1,8928684,24,72,10,100,26.2,262,10,Purchase Order,8928684,1,31054253,1,2018-05-14,262,O,1,15
201803,Q1,511630,0,2,8930894,24,72,4,40,36.4,145.6,4,Purchase Order,8930894,1,31054952,1,2018-06-05,145.6,O,1,15
201804,Q2,516853,0,3,8935130,22,78,15,15,48.45,726.75,0,Purchase Order,8935130,1,0,1,2018-07-19,0,O,1,15
201804,Q2,515102,0,4,8933873,13,81,4,4,3.27,13.08,4,Purchase Order,8933873,1,38560042,1,2018-07-04,13.08,F,1,15
201801,Q1,506294,0,6,8926229,3,89,1,1,210,210,1,Purchase Order,8926229,1,30549635,1,2018-04-19,210,F,1,15
201803,Q1,512764,0,8,8931152,3,90,2,2,210,420,2,Purchase Order,8931152,1,30551668,1,2018-06-13,420,F,1,15
201801,Q1,506294,0,7,8926229,3,90,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201801,Q1,506294,0,8,8926229,3,97,1,1,210,210,1,Purchase Order,8926229,1,30549635,1,2018-04-19,210,F,1,15
201804,Q2,515355,1,1,8934207,14,97,4,4,210,840,0,Purchase Order,8934207,1,0,1,2018-07-06,0,O,1,15
201804,Q2,515355,0,2,8934207,14,98,2,2,210,420,0,Purchase Order,8934207,1,0,1,2018-07-06,0,O,1,15
201804,Q2,515353,1,1,8934202,3,104,4,4,210,840,4,Purchase Order,8934202,1,30552605,1,2018-07-06,840,F,1,15
201801,Q1,506294,0,10,8926229,3,104,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201801,Q1,506294,0,9,8926229,3,104,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201804,Q2,515353,0,2,8934202,3,105,3,3,210,630,3,Purchase Order,8934202,1,30552605,1,2018-07-06,630,F,1,15
201801,Q1,506294,0,11,8926229,3,105,3,3,210,630,3,Purchase Order,8926229,1,30549635,1,2018-04-19,630,F,1,15
201801,Q1,506294,0,12,8926229,3,105,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201803,Q1,512384,1,1,8931594,14,105,2,2,210,420,0,Purchase Order,8931594,1,0,1,2018-06-11,0,O,1,15
201804,Q2,515354,1,1,8934203,3,110,4,4,210,840,4,Purchase Order,8934203,1,0,1,2018-07-06,0,O,1,15
201803,Q1,512764,0,9,8931152,3,110,3,3,210,630,3,Purchase Order,8931152,1,30551668,1,2018-06-13,630,F,1,15
201802,Q1,509443,0,9,8928621,3,110,2,2,210,420,2,Purchase Order,8928621,1,30550554,1,2018-05-15,420,F,1,15
201801,Q1,506294,0,3,8926229,3,110,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201801,Q1,506294,0,2,8926229,3,110,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201803,Q1,512385,1,1,8931595,14,110,2,2,210,420,0,Purchase Order,8931595,1,0,1,2018-06-11,0,O,1,15
201803,Q1,512764,0,10,8931152,3,111,3,3,210,630,3,Purchase Order,8931152,1,30551668,1,2018-06-13,630,F,1,15
201803,Q1,512386,1,1,8931599,3,111,2,2,210,420,2,Purchase Order,8931599,1,30551629,1,2018-06-11,420,O,1,15
201802,Q1,509443,0,10,8928621,3,111,2,2,210,420,2,Purchase Order,8928621,1,30550554,1,2018-05-15,420,F,1,15
201801,Q1,506294,0,5,8926229,3,111,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
201801,Q1,506294,0,4,8926229,3,111,2,2,210,420,2,Purchase Order,8926229,1,30549635,1,2018-04-19,420,F,1,15
