product_code,description,unit,unit_desc,units_in_each,unit_price,nhs_supply_chain_code,bunzl_product_code,unipro_code,tenant_id,supplier_id,group_id,tax_code,eclass,contract_id
H74904527052,Inflation Device Encore 26 Advantage Kit 20 Ml - Box Of 5,BX,Box 5,5,80,,,,1,5,6,1,7,626
M00443151,Pericardiocentesis Kit with Clip,BX,Box 3,3,210,,,,1,5,16,1,32,626
H749RB4300100,Cutting Balloon Monorail Flextome 10 X 3.00 Mm,BX,Box 1,1,390,,,,1,5,2,1,18,626
H749RB4350100,Cutting Balloon Monorail Flextome 10 X 3.50 Mm,BX,Box 1,1,390,,,,1,5,2,1,18,626
H749RB4250100,Cutting Balloon Monorail Flextome 10 X 2.50 Mm,BX,Box 1,1,390,,,,1,5,2,1,18,626
H749RB4275100,Cutting Balloon Monorail Flextome 10 X 2.75 Mm,BX,Box 1,1,390,,,,1,5,2,1,18,626
M004EPTP4790THK20,Catheter Ablation Blazer Prime Xp 110 Cm 7 Fr 2.5 Mm 10 Mm Large K2,BX,Box 1,1,395,,,,1,5,10,1,14,626
DTS3518E,Aneugraft Dx Pericardium Covered Stent 3.5 X 18,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS3027E,Aneugraft Dx Pericardium Covered Stent 3.0 X 27,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS2518E,Aneugraft Dx Pericardium Covered Stent 2.5 X 18,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS4027E,Aneugraft Dx Pericardium Covered Stent 4.0 X 27,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS2527E,Aneugraft Dx Pericardium Covered Stent 2.5 X 27,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS3023E,Aneugraft Dx Pericardium Covered Stent 3.0 X 23,PU,Pack 1,1,950,,,,1,20,21,1,38,636
DTS3018E,Aneugraft Dx Pericardium Covered Stent 3.0 X 18,PU,Pack 1,1,950,,,,1,20,21,1,38,636
QV62,Halstead Mosquito Artery forcep cvd 12.5cm,EA,Single,1,4.05,,,,1,26,5,1,27,636
QV418T,Lanes Diss forcep 6 toothed 1x2th,EA,Single,1,6,,,,1,26,5,1,27,636
QV305,Mayo scissors 17cm str,EA,Single,1,4.73,,,,1,26,5,1,27,636
504505X,"5 Fr, .035 In, Vessel Dilator, Usable Length 19 Cm",BX,Box 10,10,70.2,,,,1,15,8,1,47,638
533650E,"6 Fr, Straight Pigtail 8 Side Holes, Supertorque(tm) Plus Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .051 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534521T,"5 Fr, Judkins Right 4, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534518T,"5 Fr, Judkins Left 3.5, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534576T,"5 Fr, Right Coronary 3 Dimensional Williams, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 3,3,17.92,,,,1,15,12,1,15,638
534550E,"5 Fr, Straight Pigtail 8 Side Holes, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534542T,"5 Fr, Multipurpose A-2, 100 Cm, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534560T,"5 Fr, Internal Mammary, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534548T,"5 Fr, Amplatz Right Modified, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534541T,"5 Fr, Amplatz Right 1 Modified, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
533692C,"6 Fr, Supertorque Plus, Diagnostic Corpac, 3 Catheters Jl4 (533620), Jr4 (533621), Pig (533650e Straight), 1 Sheath Introducer Avanti Plus (504606x) With Miniguidewire, 1 Guidewire (502521 .035 In)",BX,Box 10,10,265.74,,,,1,15,12,1,15,638
504506X,"6 Fr, .038 In, Vessel Dilator, Usable Length 19 Cm",BX,Box 10,10,70.2,,,,1,15,12,1,15,638
504507X,"7 Fr .038 In, Vessel Dilator, Usable Length 19 Cm",BX,Box 10,10,70.2,,,,1,15,12,1,15,638
504508X,"8 Fr, .038 In, Vessel Dilator, Usable Length 17 Cm",BX,Box 10,10,70.2,,,,1,15,12,1,15,638
534520T,"5 Fr, Judkins Left 4, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
534522T,"5 Fr, Judkins Left 5, Infiniti(tm) Diagnostic Catheter, Guidewire Acceptance .038 In, Body Inner Lumen .047 In, Polyurethane",BX,Box 5,5,29.87,,,,1,15,12,1,15,638
512142J,".014 In X 180 Cm, Wizdom(tm), Soft Tip, J-curve Tip, Ptfe/duraglide",BX,Box 5,5,200.85,,,,1,15,3,1,4,638
CP0406,Cor Pac Inf F6,BX,Box 10,10,236.9,,,,1,15,7,1,9,638
01845-11,True Dilation Balloon Catheter 18 x 4.5,EA,Single,1,550,,,,1,20,6,1,7,639
610-1212,CIV-Flex Covers for use with Siemens Freestyle ultrasound system,BX,Box 24,24,150,,,,1,50,8,1,58,640
C408643,Dragon Fly Oct Catheter And Sterile Cover,EA,Single,1,595,,,,1,7,22,1,28,641
C408643,Dragon Fly Oct Catheter And Sterile Cover,EA,Single,1,595,,,,1,14,22,1,28,641
M004EPTR96200,Intellanav Oi 7/110/2.5/Quad Std Ous,EA,Single,1,900,,,,1,5,5,1,6,642
H74939330130,Exchange Catheter Ww (Trapper),EA,Single 1,1,200,,,,1,5,12,1,15,643
H749RB4400100,Flextome Cb Monorail 10/4.00,EA,Single,1,390,,,,1,5,2,1,18,644
0698N09,"Ultralite Comfort Shoe, Heel Strap, Perforated Leather. Ce Marked. Navy Size 9 (43)",EA,Single,1,37.61,,,,1,29,23,1,30,645
0168N09,"Klima Flex Unisex Soft P.u. Clog, Washable, Side Perforations, Heel Strap. Ce Marked. Navy Size 9 (42)",BX,Box 1,1,34.31,,,,1,29,23,1,30,645
0168N08,"Klima Flex Unisex Soft P.u. Clog, Washable, Side Perforations, Heel Strap. Ce Marked. Navy Size 8 (41)",BX,Box 1,1,34.31,,,,1,29,23,1,30,645
0168N07,"Klima Flex Unisex Soft P.u. Clog, Washable, Side Perforations, Heel Strap. Ce Marked. Navy Size 7 (40)",BX,Box 1,1,34.31,,,,1,29,23,1,30,645
0166BK14,"Unisex Lace-up Trainers, Antistatic, Leather Uppers. Black. Size 14",BX,Box 1 pair,1,34.31,,,,1,29,23,1,30,646
EN0020-P,Ensite Precision Surface Electrode Kit,BX,Box 5,5,3500,,,,1,7,8,1,44,647
D-AVSE-CBL22,"22-Pin Sensor Enabled Diagnostic Catheter Cable, 1.5m",EA,Single 1,1,90,,,,1,7,10,1,14,647
D-AVHD-DF16,Sensor Enabled Bi-D High Density Mapping Catheter  8F,EA,Single 1,1,1400,,,,1,7,10,1,14,647
D-AVSE-CBL22,"22-Pin Sensor Enabled Diagnostic Catheter Cable, 1.5m",EA,Single 1,1,90,,,,1,14,10,1,14,647
D-AVHD-DF16,Sensor Enabled Bi-D High Density Mapping Catheter  8F,EA,Single 1,1,1400,,,,1,14,10,1,14,647
1903GB,"5 Cm X 7.5 Cm, Surgicel Absorbable Haemostat, 12 Pieces",BX,Box 12,12,141.71,,,,1,6,24,1,36,648
GN1000,"Goose Neck Snare Kit, Loop Diameter 10 Mm, Snare Length 120 Cm, Catheter Size 4fr, Catheter Length 102 Cm (gn1000)",BX,Box 1,1,280,,,,1,2,5,1,27,649
GN2500,"Goose Neck Snare Kit, Loop Diameter 25 Mm, Snare Length 120 Cm, Catheter Size 6fr, Catheter Length 102 Cm (gn2500)",BX,Box 1,1,280,,,,1,2,5,1,27,649
SK400,"Goose Neck Microsnare Kit, Loop Diameter 4 Mm, Snare Length 175 Cm, Catheter Size Distal-proximal 2.3fr-3fr, Catheter Length 150 Cm (sk400)",BX,Box 1,1,574,,,,1,2,5,1,27,649
C12059,Pressurewire Gen X Guide Wire,BX,Box 5,5,1700,,,,1,7,3,1,4,650
C12059,Pressurewire Gen X Guide Wire,BX,Box 5,5,1700,,,,1,14,3,1,4,650
G19633,Microcoils-18 - Coil Pusher. Gpn: G19633 - Stock Item ( 2 - 3 Days Lead Time ),BX,Box 1,1,60,,,,1,35,3,1,4,651
G08956,Check-flo Introducer Radiopaque Tip. Gpn: G08956 - Stock Item ( 2 - 3 Days Lead Time ),BX,Box 1,1,85,,,,1,35,1,1,5,651
G08957,Check-flo Introducer Radiopaque Tip. Gpn: G08957 - Stock Item ( 2 - 3 Days Lead Time ),BX,Box 1,1,85,,,,1,35,1,1,5,651
G09691,Check-flo Introducer Radiopaque Tip. Gpn: G09691 - Stock Item ( 2 - 3 Days Lead Time ),BX,Box 1,1,115,,,,1,35,1,1,5,651
G08024,Check-flo Introducer Set. Gpn: G08024 - Stock Item ( 2 - 3 Days Lead Time ),BX,Box 1,1,66.15,,,,1,35,1,1,5,651
1101LF,1 Piece Lead Coat-Style Aprun With Lumber Support Belt,PU,Pack 1,1,384.04,,,,1,22,17,1,20,652
1204LF,Thyroid Protection Collar Lead Free,EA,Single,1,48.45,,,,1,22,17,1,20,652
0698N02.5,"Ultra Light Comfort Shose With Heel Strap, Perforated Leather (35) Size 2.5 Navy",EA,Single,1,37.61,,,,1,29,23,1,30,652
MDD100,Merit Disposal Depot,BX,Box 20,20,75,,,,1,4,8,1,34,652
N601,Morphine Mg/ml,RO,Roll 500,500,4.24,,,,1,52,8,1,62,652
OA4007,Sodium Chloride 0.9%,RO,Roll 500,500,4.24,,,,1,52,8,1,62,652
P141-5NL,Cylinder Gas,EA,Single,1,69.08,,,,1,51,32,1,60,652
F822155,Swab Gauze Xrd 15cm X 10cm 24ply (5) Without Tape Double Wrapped (f822155),CS,Case 100,100,29,,,,1,33,24,1,37,652
K62/A01,Angio Drape (no Windows),BX,Box 20,20,120.8,,,,1,23,7,1,63,652
F200028/C,Pack Cardiac Leg Ablation - St George's Hospital (f200028/c),CS,Case 4,4,18.43,,,,1,33,7,1,56,652
F812001,Bowl Liner Single Fold Bio (f812001),CS,Case 30,30,35.98,,,,1,33,7,1,55,652
D134702,Thermocool Smarttouch® Sf Uni-Directional Catheter F Curve,PU,Pack 1,1,1305,,,,1,6,16,1,32,652
PS200-040-SP,Plasmablade Ps200-040-Sp,BX,each,1,157.25,,,,1,2,16,1,32,652
612-113,Sterile 15.2 Tapered To 7.6 X 183cm (6in Tapered To 3in X 72in) Poly Accordion-folded Cover,BX,Box 12,12,80,,,,1,50,16,1,32,652
JACT+,"Jact+ (silica, Kaolin Act Cuvettes)",BX,Box 45,45,102,,,,1,32,16,1,32,652
LEASE-BUYOUT-MEDICAL,Lease Buyout For Medical Equipment,EA,Single,1,4114.58,,,,1,37,16,1,32,652
ONE1000,10mm Standard Snare Kit 100cm Length,EA,Single,1,145,,,,1,4,5,1,27,652
H749A70200,F/G Assy Sled Pullback Pack Md5 (Foc If Ordered With H749518120),BX,Box 1,1,41,,,,1,5,5,1,6,652
H74912161012,Guidewire Choice Pt Extra Support 182 Cm Straight Tip,BX,Box 5,5,190,,,,1,5,4,1,8,652
H749236310040,Advancer & Burr Rotalink Plus 135 Cm 1.75 Mm,BX,Box 1,1,840,,,,1,5,4,1,8,652
H749236310020,Advancer & Burr Rotalink Plus 135 Cm 1.25 Mm,BX,Box 1,1,840,,,,1,5,4,1,8,652
H802228240022,Rotablator Rotawire Floppy With Wireclip Torquer 325 Cm,BX,Box 5,5,520,,,,1,5,4,1,8,652
H749236310030,Advancer & Burr Rotalink Plus 135 Cm 1.50 Mm,BX,Box 1,1,840,,,,1,5,4,1,8,652
H802227680020,Rotablator Rotalink Burr 135 Cm 1.25 Mm,BX,Box 1,1,370,,,,1,5,4,1,8,652
H802227680050,Rotablator Rotalink Burr 135 Cm 2.00 Mm,BX,Box 1,1,370,,,,1,5,4,1,8,652
H749236310050,Advancer & Burr Rotalink Plus 135 Cm 2.00 Mm,BX,Box 1,1,840,,,,1,5,4,1,8,652
EXPORTAPCE,Catheter Exportapce Export 6f,BX,Box 1,1,135,,,,1,2,4,1,8,652
GWBC30,Guidewire Gwbc30 Confida 26l,BX,Box 5,5,375,,,,1,2,4,1,8,652
APW14R010S,ASAHI SION Black 190cm Straight Guidewires,BX,Box 5,5,450,,,,1,10,4,1,8,652
AHW14R004S,0.014 Asahi Guidewires,BX,Box 5,5,300,,,,1,10,4,1,8,652
APW14R009S,ASAHI Fielder XT-A 190cm Straight PTCA Guidewires,BX,Box 5,5,450,,,,1,10,4,1,8,652
CSW135-26N,135cm Cosair Catheter,EA,Single,1,395,,,,1,10,4,1,8,652
CSW150-26N,Cosair Catheter,EA,Single,1,600,,,,1,10,4,1,8,652
1011834H,Whisper Guide Wire - Extra Support 3cm/190cm,BX,Box 5,5,200,,,,1,3,4,1,8,652
YOKOA(5),Okay 2 - Asahi Goodtec Y-Connector Set,BX,Box 5,5,95,,,,1,10,8,1,64,652
LCF3LUK,Lifecard Cf Digital,PU,Pack 1,1,1760.99,,,,1,39,8,1,50,652
CFC90MB,90mb Flash Card,PU,Pack 1,1,46.45,,,,1,39,8,1,43,652
F7817/33,Bipolar Disposable Extension Cable,BX,Box 5,5,138.75,,,,1,36,8,1,43,652
APT901957,"Map-It Shrouded Deca Ext Cable, 20 Pole 210cm",EA,Single 1,1,84,,,,1,38,8,1,44,652
APT903215,Map-It 4/3.3F Deca S 2-8-2 Electrode 120cm,EA,Single 1,1,459,,,,1,38,8,1,44,652
BC-SP-04-B2,Bp Cuff Adult Dual Bayonet Single Patient,BX,Box 10,10,26.2,,,,1,24,8,1,24,652
AHW10S302S,ASAHI RG3 330cm Straight,BX,Box 5,5,600,,,,1,10,8,1,65,652
C853-0155,High pressure injector syringes,BX,Box 50,50,199,,,,1,23,8,1,23,652
DE-RD2712KSM,Coronary Stent Ultimaster 2.75X12mm,EA,Single,1,250,,,,1,12,21,1,38,652
DE-RD3528KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 28mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD2524KSM,Coronary Stent Des Ultimaster Bx 2.5mm X 24mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3033KSM,Coronary Stent Des Ultimaster Bx 3.0mm X 33mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3518KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 18mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3015KSM,Coronary Stent Des Ultimaster Bx 3.0mm X 15mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3018KSM,Coronary Stent Des Ultimaster Bx 3.0mm X 18mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3024KSM,Coronary Stent Des Ultimaster Bx 3.0mm X 24mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3524KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 24mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD2518KSM,Coronary Stent Des Ultimaster Bx 2.5mm X 18mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD2728KSM,Coronary Stent Des Ultimaster Bx 2.75mm X 28mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3512KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 12mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3515KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 15mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3012KSM,Coronary Stent Des Ultimaster Bx 3.0mm X 12mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD4024KSM,Coronary Stent Des Ultimaster Bx 4.0mm X 24mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD4018KSM,Coronary Stent Des Ultimaster Bx 4.0mm X 18mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3533KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 33mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD3538KSM,Coronary Stent Des Ultimaster Bx 3.5mm X 38mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD4015KSM,Coronary Stent Des Ultimaster Bx 4.0mm X 15mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
DE-RD4012KSM,Coronary Stent Des Ultimaster Bx 4.0mm X 12mm Shaft 145 cm,BX,Box 1,1,250,,,,1,12,21,1,38,652
NRX1413518,Nhancer RX Dual Lumen RE Guide wire Support Catheter,BX,Box 1,1,375,,,,1,43,12,1,15,652
H74916599212,Model-6F Impulse Fl3.5 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916599022,Model-6F Impulse Fr4 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391212,Model-5F Impulse Fl3.5 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391022,Model-5F Impulse Fr4 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391892,Model-5F Impulse Ar Mod (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391402,Model-5F Impulse Pig 110cm (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391222,Model-5F Impulse Fl4 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
H74916391962,Model-5F Impulse Al1 (5pk),BX,Box 1,1,20,,,,1,5,12,1,15,652
NC-F863A,Finecross Coronary Micro Guide Catheter 1.8 Fr X 130 Cm,BX,Box 1,1,325,,,,1,12,12,1,15,652
NC-D724,Fineduo – Dual Lumen Microcatheter,EA,Single,1,315,,,,1,12,12,1,15,652
FH101-25,Guardian Haemostasis Valve 25cm (Box of 25),BX,Box 25,25,550,,,,1,8,12,1,15,652
FH101-25,Guardian Haemostasis Valve 25cm (Box of 25),BX,Box 25,25,550,,,,1,10,12,1,15,652
NRX1413518,Nhancer RX Dual Lumen RE Guide wire Support Catheter,BX,Box 5,5,1750,,,,1,3,12,1,15,652
NRX1413518,Nhancer RX Dual Lumen RE Guide wire Support Catheter,BX,Box 1,1,375,,,,1,3,12,1,15,652
SR2228,6F Pigtail Diagnostic Catheter 125cm,BX,Box 5,5,50.7,,,,1,15,12,1,15,652
533-554,Ar2 Mod 5F Super Torque,BX,Box 5,5,29.87,,,,1,15,12,1,15,652
C2IVL4012,"Coronary Ivl Catheter, 4.0 X 12mm",EA,Single,1,1200,,,,1,17,12,1,15,652
C2IVL3512,"Coronary Ivl Catheter, 3.5 X 12mm",EA,Single,1,1200,,,,1,17,12,1,15,652
D134301R,BW Lasso-2515 Navi Eco Variable,EA,Single,1,354.75,,,,1,19,12,1,13,652
GC-K7JR400N,Guiding Catheter Heartrail Ii 7fr X 100cm Judkins R 4.0 Sh0,BX,Box 1,1,45,,,,1,12,8,1,13,652
GC-K7AL010N,Guiding Catheter Heartrail Ii 7fr X 100cm Amplatz L 1.0 Sh0,BX,Box 1,1,45,,,,1,12,8,1,13,652
GC-K6AL010N,Guiding Catheter Heartrail Ii 6fr X 100cm Amplatz L 1 Sh0,BX,Box 1,1,45,,,,1,12,8,1,13,652
RM*RS6F10PQ,Slender 6fr 10cm Dilator: 0.021ins Mini Gw: Spring Straight 0.021insx45cm Metalneedle 21g,BX,Box 5,5,105,,,,1,12,8,1,13,652
CRV150-19P,Caravel Microcatheter 150cm,EA,Single,1,550,,,,1,10,8,1,13,652
CRV135-19P,Caravel Microcatheter 135cm,EA,Single,1,450,,,,1,10,8,1,13,652
CRV150-19P05,Caravel Microcatheter 150cm,BX,Each,1,500,,,,1,10,8,1,13,652
CRV135-19P05,Caravel Microcatheter 135cm,BX,Box 5,5,2250,,,,1,10,8,1,13,652
H749393071902,Hornet 14G Wire 300cm,PU,Pack 5,5,1000,,,,1,5,3,1,4,652
H749393011902,Marvel 190cm Straight-Tip (5pk),BX,Box 1,1,200,,,,1,5,3,1,4,652
H749393031902,Fighter 190cm Straight-Tip (5pk),BX,Box 1,1,450,,,,1,5,3,1,4,652
H749393021902,Samurai 190cm Straight-Tip (5pk),BX,Box 1,1,200,,,,1,5,3,1,4,652
H3114000011,Catheter Viking Quadpolar 6 Fr Josephson 2 Mm S4 115 Cm,BX,Box 1,1,61.44,,,,1,5,3,1,4,652
CREFP6,Refstar(tm) External Reference Patch,BX,Box 1,1,325,,,,1,6,3,1,4,652
D135304,6fr Cs F 10 Pole 12 Pin Autoid,BX,Box 1,1,120,,,,1,6,3,1,4,652
SAT001,Smartablate System Irrigation Tubing Set,EA,Single,1,20,,,,1,6,3,1,4,652
D134301,Diagnostic Catheter Lasso Nav 2515 22p Splithandle,BX,Box 1,1,725,,,,1,6,3,1,4,652
CR3434CT,"Cable, 34 Hypertronics / 34 Lemo, Red, 10'",BX,Box 1,1,145,,,,1,6,3,1,4,652
36J13R,"7 Fr, Curve Halo(tm), Number Of Electrodes 20, Spacing (20)-2-8-2 Mm, Webster(tm) Deflectable Diagnostic Catheters, Length 110 Cm, Connector 2 X Redel 10",BX,Box 1,1,550,,,,1,6,3,1,4,652
35T2515R,"7 Fr, Curve D, 25 To 15 Mm, Spacing 2-6-2 Mm, Number Of Electrodes 20, Lasso(tm) Deflectable Diagnostic Catheters, Length 115 Cm, Connector Redel 10",BX,Box 1,1,725,,,,1,6,3,1,4,652
E7507,Patient Return Electrode Valleylab(tm) Polyhesive(tm) Ii Adult Rem With Attached 2.7 M Cord Single Use - E7507,CT,Carton 50,50,163,,,,1,2,3,1,4,652
RF+GA35263M,Guide Wire Standard Angled 0.035ins X 260cm 3cm Flex,BX,Box 5,5,145,,,,1,12,3,1,4,652
RF*GA35153M,Guide Wire Standard Angled 0.035ins X 150cm 3cm Flex,BX,Box 5,5,90,,,,1,12,3,1,4,652
RF-GS35183M,Guide Wire Standard Straight 0.035ins X 180cm 3cm Flex,BX,Box 5,5,90,,,,1,12,3,1,4,652
RF*GA35183M,Guide Wire Standard Angled 0.035ins X 180cm 3cm Flex,BX,Box 5,5,90,,,,1,12,3,1,4,652
PAGHW143094,Astato Xs 40. 0.14 200cm,BX,Box 5,5,475,,,,1,10,3,1,4,652
SA145-33N,Sasuke Wire 145cm,EA,Single,1,300,,,,1,10,3,1,4,652
AHW14R017S,Asahi Sion Blue Es 180cm Ptca Guide Wire,BX,Box 5,5,350,,,,1,10,3,1,4,652
AG149000,Asahi Extensin 165cm Ptca Guide Wire,BX,Box 5,5,450,,,,1,10,3,1,4,652
AG14002,Asahi Grand Slam 180cm Straight  Ptca Guide Wire,BX,Box 5,5,450,,,,1,10,3,1,4,652
AHW14R013P,Asahi Suoh 03 Pre Shaped Wire,BX,Box 5,5,900,,,,1,10,3,1,4,652
PPW14R100S,Gladius 0.014 200cm Wire,BX,Box 5,5,475,,,,1,10,3,1,4,652
AHW14R301S,Asahi Sion 300cm Straight  Ptca Guide Wire,BX,Box 5,5,450,,,,1,10,3,1,4,652
PAGH143092,Astato Xs 20-0.14Inch(180cm Long) Straight Tip Wire,BX,Box 5,5,425,,,,1,10,3,1,4,652
AGH143091,Confianza Pro 12 Asahi Wire,BX,Box 5,5,450,,,,1,10,3,1,4,652
NRG-E-HF-71-C1,NRG Transseptal Needle EEPROM High Flow,EA,Single,1,395,,,,1,53,3,1,4,652
DC-RH2020EHW,Ptca Balloon Cath Ryujin Plus Rx 2.00mm X 20mm Shaft 145cm,BX,Box 1,1,40,,,,1,12,2,1,3,652
DC-RH3015EHW,Ptca Balloon Cath Ryujin Plus Rx 3.00mm X 15mm Shaft 145cm,BX,Box 1,1,40,,,,1,12,2,1,3,652
DC-RH3010EHW,Ptca Balloon Cath Ryujin Plus Rx 3.00mm X 10mm Shaft 145cm,BX,Box 1,1,40,,,,1,12,2,1,3,652
